"A" "B" "C" "D" "a" "b" "c" "d" "y"
"1" 0.241935483870968 0.241935483870968 0.370967741935484 0.112903225806452 1 2 3 4 24.9215772707717
"2" 0.0161290322580645 0.661290322580645 0.983870967741935 0.403225806451613 1 2 4 3 21.4092033749033
"3" 0.338709677419355 0.725806451612903 0.0806451612903226 0.338709677419355 1 2 4 3 22.2342040966605
"4" 0.17741935483871 0.145161290322581 0.5 0.758064516129032 1 3 2 4 31.5471210683556
"5" 0.854838709677419 0.983870967741935 0.17741935483871 0.306451612903226 1 3 4 2 -5.92407097082728
"6" 0.82258064516129 0.209677419354839 0.919354838709677 0.661290322580645 1 4 2 3 11.7505024710483
"7" 0.629032258064516 0.306451612903226 0.854838709677419 0.983870967741935 1 4 2 3 15.488664738825
"8" 0.112903225806452 0.532258064516129 0.725806451612903 0.725806451612903 2 1 3 4 28.8338101634683
"9" 0.693548387096774 0.596774193548387 0.306451612903226 0.435483870967742 2 1 4 3 8.56666044544307
"10" 0.725806451612903 0.758064516129032 0.693548387096774 0.887096774193548 2 1 4 3 9.29433256233721
"11" 0.467741935483871 0.338709677419355 0.0483870967741935 0.854838709677419 2 1 4 3 20.3300226209442
"12" 0.951612903225806 0.854838709677419 0.274193548387097 0.564516129032258 2 3 1 4 17.2963866085797
"13" 0.596774193548387 0.467741935483871 0.403225806451613 0.5 2 3 4 1 -3.55394152358821
"14" 0.403225806451613 0.919354838709677 0.758064516129032 0.82258064516129 2 3 4 1 31.2287792090008
"15" 0.145161290322581 0.82258064516129 0.951612903225806 0.145161290322581 2 4 1 3 19.0271470164108
"16" 0.919354838709677 0.0161290322580645 0.241935483870968 0.0483870967741935 2 4 1 3 11.9595442021905
"17" 0.532258064516129 0.790322580645161 0.596774193548387 0.274193548387097 2 4 1 3 15.5119586639133
"18" 0.5 0.0806451612903226 0.435483870967742 0.370967741935484 2 4 3 1 19.3489420742282
"19" 0.983870967741935 0.693548387096774 0.112903225806452 0.790322580645161 3 1 4 2 16.5851922458361
"20" 0.758064516129032 0.403225806451613 0.564516129032258 0.693548387096774 3 1 4 2 -12.630128983501
"21" 0.661290322580645 0.887096774193548 0.887096774193548 0.0806451612903226 3 2 4 1 -26.2619821997572
"22" 0.306451612903226 0.17741935483871 0.0161290322580645 0.467741935483871 3 4 1 2 24.9597254562429
"23" 0.274193548387097 0.951612903225806 0.467741935483871 0.17741935483871 3 4 1 2 23.9853752088409
"24" 0.209677419354839 0.435483870967742 0.338709677419355 0.629032258064516 3 4 2 1 28.4767925778649
"25" 0.564516129032258 0.0483870967741935 0.209677419354839 0.241935483870968 4 1 2 3 11.373922345465
"26" 0.435483870967742 0.112903225806452 0.629032258064516 0.532258064516129 4 1 2 3 22.9181852723296
"27" 0.370967741935484 0.564516129032258 0.82258064516129 0.951612903225806 4 1 3 2 30.4799629547945
"28" 0.0483870967741935 0.5 0.145161290322581 0.919354838709677 4 1 3 2 22.2685003396812
"29" 0.0806451612903226 0.370967741935484 0.661290322580645 0.596774193548387 4 2 1 3 26.7794528923954
"30" 0.790322580645161 0.274193548387097 0.532258064516129 0.209677419354839 4 3 2 1 7.79925405100408
"31" 0.887096774193548 0.629032258064516 0.790322580645161 0.0161290322580645 4 3 2 1 10.9900575014081
